Producer Name,Yield,Square footage of facility:,Square footage of facility used for production:,avg kWh/day,avgkWh/ft,Square footage of flowering canopy:,LIGHTING | NUMBER OF LIGHTS,LIGHTING | WATTS,LIGHTING | HOURS PER DAY,HEATING/COOLING | WATTS,HEATING/COOLING | HOURS PER DAY,HEATING/COOLING | NUMBER OF UNITS,VENTILATION | WATTS,VENTILATION | HOURS PER DAY,VENTILATION | NUMBER OF UNITS,LIGHTING | NUMBER OF LIGHTS,LIGHTING | WATTS,LIGHTING | HOURS PER DAY,HEATING/COOLING | WATTS,HEATING/COOLING | HOURS PER DAY,HEATING/COOLING | NUMBER OF UNITS,VENTILATION | WATTS,VENTILATION | HOURS PER DAY,VENTILATION | NUMBER OF UNITS,DRYING EQUIPMENT | WATTS,DRYING EQUIPMENT | HOURS PER DAY,HEATING/COOLING | WATTS,HEATING/COOLING | HOURS PER DAY,HEATING/COOLING | NUMBER OF UNITS,DEHUMIDIFICATION | NUMBER OF UNITS,HUMIDIFICATION | NUMBER OF UNITS,VENTILATION | WATTS,VENTILATION | HOURS PER DAY,VENTILATION | NUMBER OF UNITS,,,,,,,,,,,,,,,
Cheshire Kind,,900 sq ft,50 sq ft,,,40,,0,0,none,none,,0,0,,,none,none,none,none,,400 watts,2 hours,,736 watts,24 hours dehumidifier kicked on only when humidity was over 50%,none,none,43028,none,,100 watts,less then 1,,,,,,,,,,,,,,,,
Conscious Cultivators,,2000,1600,,,300,,,12,,,,500,12,,,600,12,,,,500,12,,0,0,0,0,,,,0,0,,,,,,,,,,,,,,,,
Gaia's Ganja Garden,,1200,330,,,200,,Led 400w spectrum king,18,none,o,,125,24,,,12000,12,none,none,,125,14,,none...ambient with heat transfer from grow,none,none,none,42725,none,,80,24,,,,,,,,,,,,,,,,
Hidden Elephant Ganja (MindRite),,750 sqft.,270 sqft. flower 80 sqft. veg,,,75 sqft,,600 - 1000 watts (variable ballast),12 hours on next 12 hours of dark interrupted with one hour light,,,,200-400 watts (varies during stage),24 hrs,,,1000 watts,12 hours,5980 to 130500 watts,always on and its variable. My light hoods are air cooled and vented into the house during the winter and we don't use any other heat.,,400 watts,24 hrs,,552 watts,24 hours,,,42692,,,200 watts,24 hours,,,,,,,,,,,,,,,,
Hidden Elephant Ganja (MindRite),,750 sqft.,270 sqft. flower 80 sqft. veg,,,75 sqft,,601 - 1000 watts (variable ballast),13 hours on next 12 hours of dark interrupted with one hour light,,,,200-400 watts (varies during stage),25 hrs,,,1001 watts,13 hours,5980 to 130500 watts,always on and its variable. My light hoods are air cooled and vented into the house during the winter and we don't use any other heat.,,401 watts,25 hrs,,553 watts,25 hours,,,42692,,,201 watts,25 hours,,,,,,,,,,,,,,,,
Hidden Elephant Ganja (MindRite),,750 sqft.,270 sqft. flower 80 sqft. veg,,,45 sq ft,,602 - 1000 watts (variable ballast),14 hours on next 12 hours of dark interrupted with one hour light,,,,200-400 watts (varies during stage),26 hrs,,,1002 watts,14 hours,5980 to 130500 watts,always on and its variable. My light hoods are air cooled and vented into the house during the winter and we don't use any other heat.,,402 watts,26 hrs,,554 watts,26 hours,,,42692,,,202 watts,26 hours,,,,,,,,,,,,,,,,
HiFi Farms,8 lbs,,,346,0.692,64,4,515,18,,,2 (2) ton,,,2,4,515,12,,,2 (2 ton),,,Can Fan,,,,,1,1,0,,,n/a,,,,,,,,,,,,,,,
HiFi Farms,2,,,346,0.692,16,4,515,18,,,2 (2) ton,,,2,4,515,12,,,2 (2 ton),,,Can Fan,,,,,1,1,0,,,n/a,,,,,,,,,,,,,,,
High Noon,,,,,,300,3,600,18,,,1,,,1 6INCH EXHUAST WITH HUMIDITY SETTING,4,700,12,,,1,,,0,,,,,0,1,0,,,0,,,,,,,,,,,,,,,
Lucid Forest (Trichome Forest LLC),,,,,,100 sqft,3,630 per light,18hrs/Day/Light,,,0,,,1 Fan,10,Phantom 10000w,12hrs/Light/Day,,,0,,,4,,,,,0,1,0,,,0,,,,,,,,,,,,,,,
